"sample","BioSample","geo_loc_name","lat_lon","env_medium","env_local_scale","Collection_Date"
"SRR13342225","SAMN17201847","India","20.5937 N 78.9629 E","","","2019-09-22"
"SRR13396075","SAMN17271210","India","20.5937 N 78.9629 E","","","2019-09-22"
"SRR13396103","SAMN17271293","India","20.5937 N 78.9629 E","","","2019-09-22"
"SRR1825760","SAMN03382613","India:Odisha\, Paradip","20.32 N 86.62 E","","","2014-09-17"
"SRR23183348","SAMN32860474","India","20.5937 N 78.9629 E","","","2020-12-23"
"SRR23183349","SAMN32860475","India","20.5937 N 78.9629 E","","","2020-12-23"
"SRR23183368","SAMN32860476","India","20.5937 N 78.9629 E","","","2020-12-23"
"SRR26201959","SAMN37571899","India","23.8242 N 87.4542 E","soil","agricultural","2020-12-23"
"SRR26201960","SAMN37571898","India","23.8242 N 87.4542 E","soil","agricultural","2020-12-23"
"SRR26201961","SAMN37571897","India","23.8242 N 87.4542 E","soil","agricultural","2020-12-23"
