sample,row_unit,local_biosample,remote_sample_accession,remote_secondary_sample_accession,remote_study_accession,remote_experiment_accession,library_layout,library_source,scientific_name,sample_title,geo_loc_name_resolved,lat_lon_resolved,env_medium_resolved,env_local_scale_resolved,collection_date_resolved,env_broad_scale_remote,depth_remote,soil_type_remote,host_remote,isolation_source_remote,has_local_metadata,has_remote_metadata,has_local_taxonomy,local_processed_presence,recovery_attempt_status,candidate_label_present,candidate_label_notes,taxonomy_source_file,manifest_source_file
SRR12376372,SRR sequencing run,,SAMN15693165,SRS7135793,PRJNA650132,SRX8875092,PAIRED,METAGENOMIC,soil metagenome,MIMS Environmental/Metagenome sample from soil metagenome,"India: Alwar, Rajasthan",27.53 N 76.16 E,Soil,Agricultural field,2017-11-10,Semi Arid Zone,30cm,,,cotton rhizosphere,False,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR13342225,SRR sequencing run,SAMN17201847,SAMN17201847,SRS7956686,PRJNA689214,SRX9768638,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from soil metagenome,India,20.5937 N 78.9629 E,,,2019-09-22,,,,,soil,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR13396075,SRR sequencing run,SAMN17271210,SAMN17271210,SRS7998943,PRJNA689214,SRX9815210,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from soil metagenome,India,20.5937 N 78.9629 E,,,2019-09-22,,,,,soil,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR13396103,SRR sequencing run,SAMN17271293,SAMN17271293,SRS7998969,PRJNA689214,SRX9815238,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from soil metagenome,India,20.5937 N 78.9629 E,,,2019-09-22,,,,,soil,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR1825760,SRR sequencing run,SAMN03382613,SAMN03382613,SRS862591,PRJNA266108,SRX897055,SINGLE,METAGENOMIC,sediment metagenome,Metagenome or environmental sample from soil sediment,"India:Odisha\, Paradip",20.32 N 86.62 E,,,2014-09-17,,,,,Soil sediment,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR23183348,SRR sequencing run,SAMN32860474,SAMN32860474,SRS16545332,PRJNA689214,SRX19133762,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from soil metagenome,India,20.5937 N 78.9629 E,,,2020-12-23,,,,,soil,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR23183349,SRR sequencing run,SAMN32860475,SAMN32860475,SRS16545333,PRJNA689214,SRX19133763,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from soil metagenome,India,20.5937 N 78.9629 E,,,2020-12-23,,,,,soil,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR23183368,SRR sequencing run,SAMN32860476,SAMN32860476,SRS16545352,PRJNA689214,SRX19133782,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from soil metagenome,India,20.5937 N 78.9629 E,,,2020-12-23,,,,,soil,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR26201959,SRR sequencing run,SAMN37571899,SAMN37571899,SRS18998442,PRJNA689214,SRX21913275,SINGLE,METAGENOMIC,metagenome,sample3,India,23.8242 N 87.4542 E,soil,agricultural,2020-12-23,agricultural biome 3,soil surface,,,,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR26201960,SRR sequencing run,SAMN37571898,SAMN37571898,SRS18998441,PRJNA689214,SRX21913274,SINGLE,METAGENOMIC,metagenome,sample2,India,23.8242 N 87.4542 E,soil,agricultural,2020-12-23,agricultural biome 2,soil surface,,,,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR26201961,SRR sequencing run,SAMN37571897,SAMN37571897,SRS18998440,PRJNA689214,SRX21913273,SINGLE,METAGENOMIC,metagenome,sample1,India,23.8242 N 87.4542 E,soil,agricultural,2020-12-23,agricultural biome 1,soil surface,,,,True,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33853917,SRR sequencing run,,SAMN48884674,SRS25286994,PRJNA1271714,SRX29073802,PAIRED,METAGENOMIC,soil metagenome,Garden Soil,India: Jaipur,27.17797 N 75.9605 E,ENVO:00010483,soil as control sample,2024-05-17,Soil collected from garden containing grass,Surface,,,,False,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963317,SRR sequencing run,,SAMN49039023,SRS25363423,PRJNA1276251,SRX29162121,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2022-12-04,Soil,10 cm,,,,False,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963318,SRR sequencing run,,SAMN49039022,SRS25363422,PRJNA1276251,SRX29162120,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2022-12-04,Soil,10 cm from the topsoil,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963319,SRR sequencing run,,SAMN49039021,SRS25363421,PRJNA1276251,SRX29162119,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2023-03-08,Soil,10 cm,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963320,SRR sequencing run,,SAMN49039020,SRS25363420,PRJNA1276251,SRX29162118,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2023-03-08,Soil,10 cm from the topsoil,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963321,SRR sequencing run,,SAMN49039019,SRS25363419,PRJNA1276251,SRX29162117,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Neyveli,11.5943 N 79.4571 E,Soil,Soil,2023-10-11,Soil,10 cm from the topsoil,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963322,SRR sequencing run,,SAMN49039018,SRS25363418,PRJNA1276251,SRX29162116,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Neyveli,11.5943 N 79.4571 E,Soil,Soil,2023-10-10,Soil,10 cm,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963323,SRR sequencing run,,SAMN49039017,SRS25363417,PRJNA1276251,SRX29162115,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Namakkal,11.3810 N 78.1658 E,Soil,Soil,2023-01-18,Soil,10 cm from the topsoil,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR33963324,SRR sequencing run,,SAMN49039016,SRS25363416,PRJNA1276251,SRX29162114,PAIRED,GENOMIC,metagenome,MIMS Environmental/Metagenome sample from metagenome,India: Erode,11.4975 N 77.1573 E,soil,Soil,2023-09-29,Soil,10 cm from the topsoil,,,,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR5365029,SRR sequencing run,,SAMN06606462,SRS2062634,PRJNA379362,SRX2660456,PAIRED,METAGENOMIC,rhizosphere metagenome,Metagenome or environmental sample from FERN rhizosphere of Indian Sunderbans,India: West Bengal,22.98 N 87.85 E,,,2016-12-29,,,,,Indian Sunderbans,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR8468865,SRR sequencing run,,SAMN10786231,SRS4275454,PRJNA516299,SRX5275271,SINGLE,METAGENOMIC,soil metagenome,Wheat Rhizosphere Metagenome,"India: Ghazipur, Uttar Pradesh",25.913824 N 83.529715 E,,,2018-01-19,,,,,Wheat Rhizosphere,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR9093167,SRR sequencing run,,SAMN11772500,SRS4791340,PRJNA543600,SRX5868222,PAIRED,METAGENOMIC,soil metagenome,GSDNA,India,34.49 N 75.49 E,,,2015-10-15,,,,,soil,False,True,True,present,skipped_already_complete,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
SRR9830591,SRR sequencing run,,SAMN12139125,SRS5152733,PRJNA551105,SRX6587040,PAIRED,METAGENOMIC,soil metagenome,Metagenome or environmental sample from SOIL,India,NOT APPLICABLE,,,2017-08-07/2018-01-29,,,,NOT APPLICABLE,MAPS SOIL,False,True,True,present,completed,False,No directly observed crop or suitability label is present in the reconstructed local dataset.,processed_data/current_best_taxonomy_matrix.csv,processed_data/sample_manifest.csv
