taxonomic_level,taxon,prevalence_count,prevalence_fraction,mean_relative_abundance,median_relative_abundance,max_relative_abundance
phylum,P|Proteobacteria,24,1.0,0.4291275657236409,0.4260487582964295,0.7401960784313729
phylum,P|Actinobacteria,24,1.0,0.28547334938159824,0.2711667096346127,0.6810609089697451
phylum,P|Planctomycetes,24,1.0,0.06678280368400741,0.012413165266106401,0.4303866798115893
phylum,P|Firmicutes,24,1.0,0.0618708988281958,0.0502573102573102,0.1309110629067244
phylum,P|Bacteroidetes,24,1.0,0.040615260568934906,0.012305337967526,0.3621849583291495
phylum,P|Acidobacteria,23,0.9583333333333334,0.025941926154743885,0.011050471862502902,0.0928708620494859
phylum,P|Verrucomicrobia,24,1.0,0.01657053143034703,0.00402191024562765,0.0772264212947748
phylum,P|Chloroflexi,24,1.0,0.016455026448024213,0.004705397157075649,0.0641735397130267
phylum,P|Chordata,22,0.9166666666666666,0.014772866907848329,0.00468834964167515,0.0676392572944297
genus,G|Streptomyces,23,0.9583333333333334,0.06140699302777414,0.02546296296296295,0.1966292134831466
genus,G|Pseudomonas,24,1.0,0.03617870680003792,0.040967561521252846,0.0800744878957172
genus,G|Luteitalea,22,0.9166666666666666,0.02646650418611719,0.008129681129459599,0.1060606060606058
genus,G|Gemmata,22,0.9166666666666666,0.02614352975888788,0.0056272796144864,0.1475998205473305
genus,G|Bradyrhizobium,13,0.5416666666666666,0.02532422202588905,0.0045332042810429,0.2458333333333336
genus,G|Pirellula,8,0.3333333333333333,0.023151289798491268,0.0,0.1591147001644981
genus,G|Bacillus,23,0.9583333333333334,0.02312188099573551,0.01279995503867695,0.0972551677397491
genus,G|Acinetobacter,17,0.7083333333333334,0.02270647130629309,0.00115059366981905,0.4004938271604939
genus,G|Homo,22,0.9166666666666666,0.021889447208545753,0.0069190550609106,0.0955056179775283
genus,G|Sphingobacterium,11,0.4583333333333333,0.01810330283133345,0.0,0.4225925925925927
genus,G|Verrucomicrobium,10,0.4166666666666667,0.014777199518777576,0.0,0.0765664722596081
genus,G|Mycobacterium,23,0.9583333333333334,0.011934787873089533,0.010008681425089299,0.0444964871194378
genus,G|Acidothermus,10,0.4166666666666667,0.011186419478487942,0.0,0.1165706540155878
genus,G|Micromonospora,19,0.7916666666666666,0.010479297578894672,0.0054826870211147506,0.0311653116531166
genus,G|Rubinisphaera,8,0.3333333333333333,0.010375685532692762,0.0,0.0871840885299834
genus,G|Rhodococcus,22,0.9166666666666666,0.010114757258082878,0.007756013539225649,0.0401721664275467
genus,G|Geobacter,23,0.9583333333333334,0.009798415557051436,0.0058445190156599,0.0580314811302863
genus,G|Burkholderia,23,0.9583333333333334,0.009763870323310513,0.00811064535848395,0.0291666666666667
genus,G|Nocardioides,23,0.9583333333333334,0.009650787258738337,0.00640551832048735,0.0338753387533876
genus,G|Sphingomonas,21,0.875,0.008502756933027112,0.008774616788554051,0.023489932885906
genus,G|Mycolicibacterium,22,0.9166666666666666,0.008290815647398829,0.010620149225750799,0.0244956772334294
genus,G|Saccharopolyspora,20,0.8333333333333334,0.00724208886537465,0.0014689640891128,0.0691291087766858
genus,G|Methylobacterium,23,0.9583333333333334,0.007210910765499158,0.007186005069069149,0.0204841713221602
genus,G|Planctomyces,20,0.8333333333333334,0.006979656461985325,0.0035400497419169,0.0387318678032002
genus,G|Rhodoplanes,23,0.9583333333333334,0.006827261359959633,0.0046292425844418495,0.025499655410062
genus,G|Corynebacterium,24,1.0,0.00667797418333303,0.0059039300066188,0.0172910662824208
genus,G|Brachybacterium,17,0.7083333333333334,0.006269198744331091,0.0008331938436599499,0.0778097982708936
genus,G|Azoarcus,23,0.9583333333333334,0.005827983677380376,0.00285201953815945,0.0273089322966053
genus,G|Conexibacter,22,0.9166666666666666,0.005824092127549784,0.00450330366000985,0.0168539325842697
genus,G|Sorangium,21,0.875,0.005495418595912317,0.00535700264816515,0.0130450321658327
genus,G|Mesorhizobium,23,0.9583333333333334,0.0053703289142360625,0.0055033231896564495,0.0166666666666666
genus,G|Candidatus Solibacter,19,0.7916666666666666,0.005368332943655958,0.00217240073488505,0.0176767676767676
genus,G|Stenotrophomonas,23,0.9583333333333334,0.005342835210718583,0.0035205721856268,0.0455555555555555
genus,G|Marinithermus,8,0.3333333333333333,0.005339796018771488,0.0,0.0396186092388624
genus,G|Azospirillum,23,0.9583333333333334,0.005204800018605012,0.00602156180583515,0.0138888888888888
genus,G|Microbacterium,19,0.7916666666666666,0.005095982316730229,0.0027610696938889998,0.0186513629842181
genus,G|Kocuria,14,0.5833333333333334,0.005095526377176979,0.00075779873324335,0.0501355013550137
genus,G|Anaeromyxobacter,23,0.9583333333333334,0.0050883931742006245,0.0047472959727435,0.0254124786648966
