sample,richness,genus_richness,shannon_diversity,simpson_diversity,evenness,dominant_taxon_proportion,unclassified_proportion,genus_hellinger_centroid_distance,smhi_version_a_minmax_0_100,smhi_version_b_percentile_0_100,smhi_version_c_percentile_typicality_0_100,rank_version_a,rank_version_b,rank_version_c,preferred_reporting_score_0_100,preferred_reporting_rank,preferred_reporting_band,rank_spread_across_versions
SRR23183349,576,469,5.0460770083539925,0.9854504789732742,0.8204199162789855,0.065536525690318,0.0191,0.6165382188703108,95.93,89.9,85.16,2,1,1,89.9,1,highest,1
SRR23183348,627,510,5.055450934059998,0.9845679713929084,0.8108947511598981,0.0792466240227434,0.019,0.6380530771206263,97.35,87.71,81.43,1,2,2,87.71,2,highest,1
SRR23183368,552,471,4.946141504385785,0.9838629090350846,0.8036158476495642,0.0728522336769759,0.0136,0.6193604249970583,94.12,84.17,79.67,3,3,3,84.17,3,highest,0
SRR8468865,559,430,4.92652633460983,0.9792023130988232,0.8124506665492665,0.0966999232540288,0.3817,0.7351184978552947,88.2,76.15,70.35,6,4,4,76.15,4,highest,2
SRR1825760,501,433,4.724400045105365,0.9799550375410018,0.7782250291118864,0.0671412392816695,0.0157,0.8980126472647821,90.07,74.9,64.91,5,5,9,74.9,5,highest,4
SRR5365029,550,466,4.730331652490516,0.9761713448806896,0.7698874894367788,0.0875722004844419,0.0133,0.7523205772992138,90.85,71.98,64.93,4,6,8,71.98,6,highest,4
SRR33963319,296,237,4.750391911431496,0.977922681288004,0.8687526817225802,0.1044349070100146,0.8678,0.5269843266985028,72.22,66.88,69.34,11,7,5,66.88,7,higher,6
SRR33963318,327,241,4.732433083294287,0.9772613838581043,0.8628274010287659,0.1102257636122181,0.8672,0.5649451173971952,72.48,66.67,66.67,10,8,6,66.67,8,higher,4
SRR33963320,245,242,4.785206679429978,0.9763522224242702,0.8717910310089351,0.1103789126853381,0.903,0.5565025358618579,70.82,65.63,66.41,13,9,7,65.63,9,higher,6
SRR9830591,331,239,4.641233527957112,0.9717940985063726,0.8474873399495522,0.1168658698539182,0.8054000000000001,0.5383880543541958,71.71,56.41,59.82,12,10,11,56.41,10,higher,2
SRR33963324,270,226,4.657566672127422,0.9742851528606028,0.8592448296621471,0.1233283803863302,0.8518000000000001,0.5149417851959434,69.78,55.0,60.5,14,11,10,55.0,11,higher,4
SRR33963317,215,199,4.642053755487273,0.9760814885406738,0.8769670195082492,0.1166007905138344,0.8911,0.5051256416472272,68.19,52.29,59.45,17,12,12,52.29,12,higher,5
SRR33963321,253,239,4.515254317288487,0.9681674382716048,0.8244835877152853,0.1250000000000005,0.848,0.6261118241768231,67.71,49.32,49.42,18,13,13,49.32,13,moderate,5
SRR12376372,67,124,4.196486487811785,0.9684698887437502,0.8705894937249472,0.1006711409395975,0.9487,0.6085268289032761,59.98,43.44,46.3,21,14,14,43.44,14,moderate,7
SRR26201959,460,395,4.024747569553933,0.9447460645998552,0.6731601384962227,0.1429275505174963,0.0219,0.7489358559210867,76.52,41.56,39.7,7,15,17,41.56,15,moderate,10
SRR26201961,461,392,4.022828423322686,0.9446954252833212,0.6736982117441112,0.1430688179124136,0.022,0.7482380533466463,76.46,39.69,38.73,8,16,18,39.69,16,moderate,10
SRR33963322,250,207,4.368530124257632,0.9596751211171272,0.8191937909372984,0.1567398119122262,0.8575,0.5171862325300598,64.0,37.97,45.4,19,17,15,37.97,17,moderate,4
SRR33963323,195,187,4.37544768352019,0.9612822460111868,0.8364283757027211,0.1564245810055871,0.9124,0.5139301069496031,62.26,36.15,45.1,20,18,16,36.15,18,moderate,4
SRR13342225,222,207,4.00653034819353,0.961230061397616,0.7513110110462476,0.1136363636363634,0.1361,0.7982499706456712,68.97,36.09,33.18,15,19,19,36.09,19,lower,4
SRR13396103,218,202,3.993470634688899,0.9606855661891588,0.7523114624840798,0.1148964595858382,0.1359,0.7997206501477451,68.62,33.75,30.56,16,20,21,33.75,20,lower,5
SRR26201960,438,391,3.861950556601253,0.934460588288032,0.647032966146983,0.158640226628895,0.0272,0.7877387691077755,73.13,31.46,29.86,9,21,22,31.46,21,lower,13
SRR33853917,211,178,4.160572329491289,0.9455613722432608,0.8029228332504871,0.1958955223880603,0.9194,0.5561615608343291,57.82,23.85,31.53,22,22,20,23.85,22,lower,2
SRR13396075,86,57,1.3805514523195843,0.6532250096383012,0.3414627618756377,0.4221235664076953,0.0014,1.101488354959921,10.59,14.79,13.2,24,23,24,14.79,23,lower,1
SRR9093167,59,105,3.7883485164444486,0.926631944444444,0.8140053269504592,0.2458333333333336,0.9537,0.70113872374592,47.42,14.27,18.38,23,24,23,14.27,24,lower,1
